
                        **********************************
                        **********************************
                        ***                            ***
                        ***     Program ARSTAN_v48     ***
                        ***                            ***
                        ***       Creation Date:       ***
                        ***          03/17/16          ***
                        ***                            ***
                        ***       Programmed by:       ***
                        ***     Dr. Edward R. Cook     ***
                        ***       Paul J. Krusic       ***
                        ***    Tree-Ring Laboratory    ***
                        ***  Lamont-Doherty Earth Obs. ***
                        ***    Palisades, N.Y. 10964   ***
                        *** drdendro@ldeo.columbia.edu ***
                        ***    pjk@ldeo.columbia.edu   ***
                        ***  www.ldeo.columbia.edu/trl ***
                        ***                            ***
                        **********************************
                        **********************************

 |==============================================================================|

 overall run title:                                                                                 

 file names file processed:       dTrendBatcht.txt                                            
 data file processed:             fram_drop.rwl                                               
 log file processed:              fram_drop.rwl_log.txt                                       

                       opt          plt
 tree-ring data type    1                !tucson ring-width format                         
 missing data in gap   -9            0   !missing values estimated (no plots)              
 data transformation    4            0   !spread/level power transform (no plots)          
 first detrending       2     20     0   !1st-neg expon curve (k>0), no = opt 5            
 second detrending    -67      0     0   !2nd-spline curve (pct n 50% cutoff)              
 robust detrending      1                !non-robust detrending methods used               
 interactive detrend    0                !no interactive detrending                        
 index calculation      2                !residuals or differences (rt-gt)                 
 ar modeling method     1      0     0   !non-robust autoregressive modeling               
 pooled ar order        0            0   !minimum aic pooled ar model order fit 
 series ar order        0                !pooled ar order fit to all series                
 mean chronology        2   0    0   0   !robust (biweight) mean chronology                
 stabilize variance     1                !rbar weighted stabilization method               
 common period years     1950 2000       !first and last years of common period            
 site-tree-core mask       SSSTTC        !site-tree-core separation mask                   
 running rbar              40   20   0   !running rbar window/overlap (no plots)           
 printout option        2                !summary & series statistics printed              
 core series save       1                !series saved in tucson raw data format           
 summary plot displays  3                !spaghetti and mean chronology plots              

 stand dynamics stuf    0            0   !no stand dynamics analyses done                  
 running mean window    0                !running mean window width                        
 percent growth change  0                !percent growth change threshold                  
 std error threshold    0                !standard error limit threshold                   

 |======================== raw data statistical analyses =======================|

 |------------------- tree-ring series read in for processing ------------------|

  data header lines:

 |------------ series gaps found based on any negative number found ------------|
       *** when data are transformed, zeros are also treated as missing ***

        series      ident      results of scans for gaps or missing values

                           --- no gaps in data found ---

 |------------------ statistics of raw tree-ring measurements ------------------|

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    30   172565A  1936   2013     78   1.457   1.373  2.328  7.208  0.171   0.934
    31   192260A  1944   2016     73   2.923   1.564  0.794  3.395  0.359   0.615
    32   192666A  1934   2013     80   0.501   0.279  1.336  5.287  0.231   0.610
    33   12234A   1910   2016    107   0.923   0.460  1.098  4.840  0.240   0.782
    34   20040A   1956   2012     57   1.843   1.670  0.938  2.636  0.171   0.916
    35   20432A   1940   2011     72   2.984   1.065  0.534  3.535  0.187   0.767
    36   30039A   1940   2015     76   2.841   1.097 -0.314  3.149  0.212   0.738
    37   30109    1936   2015     80   5.538   2.015  0.781  3.322  0.268   0.476
    38   40853A   1922   2016     95   1.023   0.633  1.230  4.622  0.203   0.891
    39   41025A   1918   2011     94   1.493   0.666  1.644  6.148  0.178   0.743

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    40   050025A  1957   2012     56   1.208   0.598 -0.147  2.239  0.321   0.740
    41   70599A   1954   2013     60   0.457   0.362  1.667  4.698  0.386   0.673
    42   101259A  1896   2000    105   1.299   0.933  2.347  7.447  0.197   0.859
    43   150776A  1951   2011     61   0.665   0.395  0.967  3.333  0.241   0.852
    44   160001A  1983   2015     33   0.761   0.325  0.390  2.853  0.423   0.327
    45   162470   1934   2013     80   4.847   3.689  0.685  2.241  0.216   0.945
    46   162591A  1937   2016     80   1.194   0.578  0.347  2.685  0.186   0.862
    47   172091   1954   2012     59   6.392   3.005  0.018  3.719  0.228   0.775
    48   172493A  1942   2004     63   0.705   0.455  1.787  7.217  0.206   0.718
    49   182455A  1937   2016     80   0.909   0.500  0.728  3.517  0.269   0.649
    50   192154A  1879   2016    138   1.732   1.150  2.466  9.207  0.230   0.819
    51   192552A  1928   2017     90   0.670   0.428  1.008  3.162  0.281   0.768
    52   192568A  1949   2016     68   0.741   0.401  0.517  2.238  0.225   0.822
    53   192583A  1929   2012     84   1.534   0.686  0.794  4.211  0.351   0.320
    54   192594A  1953   2016     64   1.978   1.196  0.195  1.972  0.217   0.896
    55   200578   1958   2017     60   1.314   1.020  1.886  5.932  0.387   0.652
    56   201248A  1885   2013    129   2.232   0.708  0.251  3.876  0.168   0.722
    57   202528A  1935   2011     77   0.898   0.599  0.336  1.938  0.267   0.883
    58   30062    1942   2009     68   0.829   0.482  1.565  5.624  0.320   0.618
    59   172542   1929   2009     81   0.701   0.213  0.793  3.773  0.189   0.615

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    60   202379   1870   2007    138   1.302   0.811  1.366  4.759  0.186   0.873
    61   202933   1961   2010     50   1.617   0.930  1.137  3.886  0.233   0.866
    62   140939A  1945   2007     63   0.462   0.325  1.458  4.384  0.419   0.708
    63   182374A  1974   2017     44   0.812   0.543  1.694  5.244  0.321   0.705
    64   190735A  1937   2017     81   0.804   0.509  0.674  2.311  0.259   0.898
    65   192683A  1942   2012     71   0.837   0.486  1.937  6.964  0.276   0.728
    66   192592A  1990   2017     28   2.002   0.553  2.772 11.649  0.214   0.367
    67   30174A   1954   2015     62   0.449   0.260  3.085 15.819  0.292   0.528
    68   41006A   1869   2001    133   1.691   1.051  2.019  7.598  0.246   0.766
    69   162458r  1933   2013     81   1.462   1.182  1.287  3.861  0.250   0.879

       number of series read in:   69   from   1869  to   2017     149 years

 |---------------- summary of raw tree-ring series statistics ------------------|

                                year    mean   stdev   skew   kurt   sens   ac(1)
 arithmetic mean                  81   1.545   0.786  1.209  4.943  0.241   0.716
 standard deviation               26   1.067   0.579  0.732  2.551  0.064   0.152
 median (50th quantile)           79   1.314   0.599  1.279  4.384  0.228   0.740
 interquartile range              32   0.952   0.461  1.025  2.999  0.077   0.191
 minimum value                    28   0.449   0.213 -0.314  1.938  0.143   0.320
 lower hinge (25th quantile)      63   0.891   0.469  0.685  3.149  0.192   0.643
 upper hinge (75th quantile)      95   1.843   0.930  1.709  6.148  0.269   0.834
 maximum value                   140   6.392   3.689  3.085 15.819  0.423   0.945

 |-------------------- all possible series rbar statistics ---------------------|

   total    mean   standard   standard  skewess   kurtosis   minimum   maximum
   corrs    rbar   deviation    error    coeff      coeff      corr      corr
    2313   0.181     0.310      0.006   -0.189      2.462    -0.785     0.894

   minimum correlation: -0.785   series  20040A     and  190735A      57 years
   maximum correlation:  0.894   series  20040A     and  172493A      49 years

       percent of all possible correlations used (n>20 years):      98.59
       percent of all possible tree-ring years used in rbar:        42.65

 |======================= raw data common period analyses ======================|

 |----------------------- statistics of the common period ----------------------|

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
     1  121455A   1950   2000     51   0.717   0.416  0.719  2.352  0.272   0.840
     2  192697    1950   2000     51   1.738   0.649  0.805  2.393  0.173   0.767
     3  142178    1950   2000     51   1.760   0.764  1.313  3.739  0.234   0.617
     4  202536    1950   2000     51   1.686   0.792  1.004  3.090  0.213   0.721
     5  161024    1950   2000     51   1.458   0.257  0.768  4.518  0.112   0.603
     6  182396    1950   2000     51   1.279   0.348  0.180  2.491  0.176   0.644
     7  101292    1950   2000     51   2.296   0.920  1.973  6.167  0.141   0.808
     8  182678    1950   2000     51   0.904   0.253  1.232  4.586  0.243   0.372
     9  192707    1950   2000     51   1.711   0.894  1.374  4.249  0.198   0.811
    10  171421    1950   2000     51   1.341   0.547  0.800  3.152  0.231   0.753
    11  12303     1950   2000     51   2.080   0.647  0.231  2.513  0.147   0.798
    12  192641    1950   2000     51   0.678   0.448  2.287  7.122  0.218   0.656
    13  10539     1950   2000     51   1.700   0.522  0.743  2.742  0.195   0.597
    14  141124    1950   2000     51   1.184   0.645  1.731  6.359  0.323   0.445
    15  142703    1950   2000     51   1.604   0.903  1.713  7.297  0.232   0.707
    16  202775    1950   2000     51   2.379   0.298  0.564  2.740  0.088   0.583
    17  152659    1950   2000     51   0.827   0.256  0.153  2.241  0.186   0.675
    18  132525    1950   2000     51   1.674   0.505  1.018  3.077  0.163   0.678
    19  40131     1950   2000     51   1.787   0.331  0.730  3.148  0.149   0.468

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    20  140881    1950   2000     51   2.104   1.559  1.830  4.439  0.176   0.884
    21  40934A    1950   2000     51   0.910   0.550  0.335  1.945  0.310   0.800
    22  40935A    1950   2000     51   1.601   0.418  0.875  4.201  0.171   0.482
    23  102453A   1950   2000     51   1.133   0.404  0.422  4.590  0.241   0.530
    24  111290A   1950   2000     51   0.939   0.247  0.941  3.141  0.134   0.716
    25  172565A   1950   2000     51   1.084   0.325  1.027  3.836  0.160   0.717
    26  192260A   1950   2000     51   3.369   1.558  0.675  3.203  0.337   0.541
    27  192666A   1950   2000     51   0.487   0.206  0.630  2.236  0.178   0.834
    28  12234A    1950   2000     51   0.958   0.532  1.597  4.945  0.280   0.761
    29  20432A    1950   2000     51   3.299   0.946  1.051  3.886  0.158   0.781
    30  30039A    1950   2000     51   3.294   0.847  0.318  2.457  0.214   0.478
    31  30109     1950   2000     51   5.950   1.749  0.926  4.011  0.223   0.554
    32  40853A    1950   2000     51   0.893   0.416  0.914  3.422  0.146   0.869
    33  41025A    1950   2000     51   1.380   0.399  0.453  2.544  0.140   0.789
    34  101259A   1950   2000     51   0.875   0.251  0.159  2.413  0.168   0.671
    35  162470    1950   2000     51   4.356   2.952  1.576  4.812  0.181   0.853
    36  162591A   1950   2000     51   1.263   0.444  0.867  3.560  0.178   0.673
    37  172493A   1950   2000     51   0.637   0.321  0.695  3.009  0.201   0.748
    38  182455A   1950   2000     51   1.002   0.387  1.015  4.653  0.228   0.638
    39  192154A   1950   2000     51   1.355   0.473  0.231  3.052  0.211   0.658

 series   ident   frst   last   year    mean   stdev   skew   kurt   sens   ac(1)
    40  192552A   1950   2000     51   0.678   0.383  1.079  3.548  0.243   0.773
    41  192568A   1950   2000     51   0.871   0.363  0.352  2.285  0.220   0.692
    42  192583A   1950   2000     51   1.507   0.588  0.706  2.338  0.268   0.498
    43  201248A   1950   2000     51   2.381   0.644  1.234  4.191  0.150   0.645
    44  202528A   1950   2000     51   1.067   0.631 -0.182  1.851  0.241   0.854
    45  30062     1950   2000     51   0.657   0.318  1.425  5.735  0.316   0.752
    46  172542    1950   2000     51   0.673   0.165 -0.171  2.103  0.181   0.481
    47  202379    1950   2000     51   0.784   0.310  0.851  3.465  0.165   0.733
    48  140939A   1950   2000     51   0.455   0.323  1.652  5.053  0.438   0.647
    49  190735A   1950   2000     51   0.791   0.555  0.835  2.367  0.270   0.894
    50  192683A   1950   2000     51   0.786   0.411  1.405  4.553  0.268   0.725
    51  41006A    1950   2000     51   1.123   0.288 -0.191  2.364  0.173   0.593
    52  162458r   1950   2000     51   1.177   0.703  1.498  4.824  0.227   0.799

 |------------ summary of common period tree-ring series statistics ------------|

                                year    mean   stdev   skew   kurt   sens   ac(1)
 arithmetic mean                  51   1.512   0.597  0.892  3.635  0.209   0.685
 standard deviation              -99   1.020   0.472  0.565  1.325  0.064   0.127
 median (50th quantile)           51   1.223   0.446  0.859  3.313  0.199   0.700
 interquartile range               0   0.851   0.324  0.766  2.061  0.075   0.185
 minimum value                    51   0.455   0.165 -0.191  1.851  0.088   0.372
 lower hinge (25th quantile)      51   0.873   0.324  0.508  2.474  0.166   0.600
 upper hinge (75th quantile)      51   1.724   0.648  1.274  4.536  0.241   0.785
 maximum value                    51   5.950   2.952  2.287  7.297  0.438   0.894

 |----------- all series common period principal components analysis -----------|
 |--------- refer to saved output files for complete tabulated results ---------|

             ev #1  ev #2  ev #3  ev #4  ev #5  ev #6  ev #7  ev #8  ev #9  ev#10
 eigenvalue:17.047  6.525  6.287  2.884  2.794  2.214  1.572  1.235  1.015  0.927
 eval sderr: 3.376  1.292  1.245  0.571  0.553  0.438  0.311  0.245  0.201  0.184
 % variance: 0.341  0.130  0.126  0.058  0.056  0.044  0.031  0.025  0.020  0.019
 cumulative: 0.341  0.471  0.597  0.655  0.710  0.755  0.786  0.811  0.831  0.850
 brokn stck: 4.519* 3.519* 3.019* 2.685  2.435  2.235  2.069  1.926  1.801  1.690 
 broken stick order selected for eigenvalue + 1se above broken stick value:   3

             |---------------------- eigenvector loadings ----------------------|
 series id   eg_#1  eg_#2  eg_#3  eg_#4  eg_#5  eg_#6  eg_#7  eg_#8  eg_#9  eg#10
  121455A   -0.038  0.263  0.044  0.139 -0.191  0.232  0.028  0.063  0.020  0.039
  192697     0.203 -0.006 -0.057 -0.154  0.113 -0.059 -0.095 -0.016 -0.007  0.031
  142178     0.105  0.147  0.175  0.061  0.051  0.068 -0.299 -0.069  0.023  0.455
  202536    -0.038 -0.004  0.311  0.025  0.051  0.257  0.004 -0.134  0.036 -0.136
  161024     0.182  0.063 -0.061  0.130  0.038  0.054 -0.160 -0.154 -0.031  0.265
  182396     0.009  0.120 -0.123  0.260  0.358  0.077  0.150  0.051 -0.167  0.196
  101292     0.106 -0.074 -0.179  0.268  0.268 -0.109  0.013  0.092  0.044 -0.086
  182678     0.134 -0.104  0.158  0.075  0.120  0.054 -0.166 -0.329  0.141 -0.184
  192707     0.131 -0.134 -0.195  0.255  0.107  0.085  0.008  0.036  0.078 -0.120
  171421     0.061  0.231  0.131  0.190 -0.035 -0.199 -0.068 -0.145  0.058 -0.143
  12303      0.077 -0.268 -0.001  0.095 -0.145  0.128 -0.006 -0.041  0.103 -0.040
  192641     0.175 -0.117  0.105 -0.049  0.019 -0.160 -0.042  0.205  0.101  0.018
  10539      0.167  0.117  0.136  0.058  0.174  0.115 -0.101  0.077 -0.144  0.090
  141124     0.011 -0.032  0.251 -0.011  0.127  0.171  0.357  0.174  0.261  0.209
  142703     0.199 -0.022  0.054 -0.034 -0.152 -0.021  0.224  0.044  0.100 -0.135
  202775     0.144  0.173  0.074 -0.070  0.049 -0.089  0.243 -0.098  0.056  0.063
  152659     0.159 -0.152 -0.028  0.101 -0.120  0.091  0.075 -0.257  0.002  0.145
  132525     0.146  0.140  0.171 -0.004 -0.071  0.020 -0.097  0.189 -0.118 -0.004
  40131      0.172  0.016  0.064 -0.150  0.180 -0.081  0.201 -0.022  0.129 -0.010
  140881     0.189 -0.104  0.144  0.086  0.082 -0.092  0.025  0.121 -0.072 -0.074
  40934A     0.161  0.147 -0.095 -0.143 -0.089  0.152 -0.124 -0.021  0.101 -0.025
  40935A     0.051  0.130 -0.177 -0.066  0.212  0.082  0.159 -0.125  0.402  0.216
  102453A    0.101  0.191  0.116  0.039 -0.230 -0.105  0.147 -0.001  0.085 -0.091
  111290A   -0.023  0.151  0.186  0.291 -0.136  0.172  0.115  0.255  0.022 -0.052
  172565A    0.196 -0.017  0.125  0.099  0.065  0.164 -0.019  0.030 -0.136 -0.093
  192260A   -0.046  0.091 -0.060 -0.209  0.085  0.307 -0.161  0.388  0.230 -0.127
  192666A    0.134 -0.101 -0.249  0.007  0.027  0.092  0.236 -0.021 -0.108  0.063
  12234A    -0.112  0.006  0.025 -0.262  0.344 -0.011  0.023 -0.104  0.067 -0.096
  20432A     0.056  0.090 -0.281 -0.113 -0.110  0.234  0.008 -0.057  0.270 -0.076
  30039A     0.053  0.256 -0.051 -0.084  0.198 -0.088  0.019 -0.123 -0.026 -0.186
  30109      0.029  0.030 -0.140 -0.186 -0.007  0.301  0.277 -0.092 -0.397  0.150
  40853A     0.222 -0.023  0.030 -0.056 -0.064 -0.076 -0.058  0.113 -0.029  0.072
  41025A     0.201  0.048 -0.064 -0.073  0.023 -0.096 -0.143  0.064  0.067  0.129
  101259A    0.156  0.051 -0.192 -0.054 -0.053 -0.030  0.002 -0.032 -0.234 -0.063
  162470     0.218 -0.060  0.080 -0.101 -0.055 -0.101  0.043  0.035 -0.058 -0.023
  162591A    0.203  0.039  0.074  0.070 -0.117  0.116 -0.028  0.020  0.079  0.056
  172493A    0.205 -0.059 -0.083 -0.066 -0.057 -0.046 -0.125 -0.002  0.119  0.092
  182455A    0.158 -0.140 -0.102  0.180  0.052  0.186 -0.027  0.013 -0.037 -0.100
  192154A   -0.010  0.268  0.155 -0.165  0.132 -0.064  0.133  0.135  0.026 -0.013
  192552A    0.186 -0.110  0.018  0.169 -0.041  0.099  0.163  0.135 -0.016 -0.198
  192568A    0.150  0.195 -0.072  0.044 -0.139  0.054 -0.092 -0.125  0.142  0.079
  192583A    0.144 -0.018  0.049 -0.002  0.234  0.207 -0.021 -0.232 -0.003 -0.297
  201248A    0.161  0.137 -0.003 -0.166 -0.073  0.075  0.240 -0.012 -0.220 -0.077
  202528A    0.115  0.206 -0.187 -0.012 -0.124 -0.024 -0.036  0.010 -0.031 -0.088
  30062      0.033 -0.123  0.236 -0.278 -0.073  0.069 -0.040 -0.205 -0.207 -0.006
  172542    -0.045  0.263 -0.093 -0.021 -0.125  0.109 -0.078 -0.146  0.044 -0.297
  202379     0.154  0.018 -0.086 -0.113  0.186 -0.122 -0.144  0.297 -0.081 -0.182
  140939A   -0.029  0.154 -0.019  0.230 -0.042 -0.344  0.276 -0.166  0.083 -0.030
  190735A   -0.169  0.072  0.172  0.077  0.136  0.171 -0.032 -0.051 -0.084 -0.025
  192683A    0.140 -0.082  0.254 -0.022  0.096 -0.016  0.010 -0.147  0.106 -0.046
  41006A     0.024  0.302 -0.011  0.159  0.150 -0.037 -0.132 -0.018 -0.215 -0.032
  162458r    0.212 -0.009  0.066 -0.132 -0.091 -0.094  0.052  0.008 -0.056  0.063

 |--------- all series common period varimax factor rotation - ev>1.0) ---------|
 |--------- refer to saved output files for complete tabulated results ---------|

             vf #1  vf #2  vf #3  vf #4  vf #5  vf #6  vf #7  vf #8  vf #9  vf#10
 % variance: 0.317  0.125  0.132
 cumulative: 0.317  0.442  0.574

             |--------------------- varimax factor loadings --------------------|
 series id   vl_#1  vl_#2  vl_#3  vl_#4  vl_#5  vl_#6  vl_#7  vl_#8  vl_#9  vl#10
  121455A   -0.161  0.679  0.004
  192697     0.785 -0.048  0.328
  142178     0.504  0.461 -0.235
  202536     0.028  0.162 -0.778
  161024     0.686  0.121  0.355
  182396    -0.048  0.230  0.367
  101292     0.333 -0.284  0.488
  182678     0.640 -0.174 -0.303
  192707     0.429 -0.443  0.516
  171421     0.289  0.647 -0.126
  12303      0.341 -0.669 -0.070
  192641     0.780 -0.235 -0.146
  10539      0.733  0.365 -0.098
  141124     0.192  0.060 -0.605
  142703     0.834 -0.027  0.053
  202775     0.598  0.472  0.057
  152659     0.641 -0.395  0.137
  132525     0.665  0.442 -0.188
  40131      0.727  0.074  0.022
 series id   vl_#1  vl_#2  vl_#3  vl_#4  vl_#5  vl_#6  vl_#7  vl_#8  vl_#9  vl#10
  140881     0.855 -0.182 -0.217
  40934A     0.575  0.312  0.462
  40935A     0.087  0.225  0.541
  102453A    0.446  0.539 -0.074
  111290A   -0.005  0.478 -0.381
  172565A    0.860  0.025 -0.116
  192260A   -0.230  0.193  0.149
  192666A    0.407 -0.391  0.667
  12234A    -0.436  0.029 -0.165
  20432A     0.052  0.069  0.772
  30039A     0.151  0.610  0.312
  30109      0.031 -0.003  0.377
  40853A     0.912 -0.043  0.131
  41025A     0.763  0.084  0.372
  101259A    0.510  0.018  0.636
  162470     0.927 -0.107 -0.014
  162591A    0.850  0.136  0.042
  172493A    0.784 -0.194  0.362
  182455A    0.595 -0.406  0.320
  192154A    0.013  0.753 -0.231
 series id   vl_#1  vl_#2  vl_#3  vl_#4  vl_#5  vl_#6  vl_#7  vl_#8  vl_#9  vl#10
  192552A    0.771 -0.265  0.076
  192568A    0.534  0.446  0.423
  192583A    0.608 -0.018  0.013
  201248A    0.626  0.339  0.237
  202528A    0.330  0.407  0.669
  30062      0.284 -0.176 -0.598
  172542    -0.268  0.603  0.321
  202379     0.568 -0.005  0.363
  140939A   -0.146  0.374  0.102
  190735A   -0.587  0.276 -0.532
  192683A    0.718 -0.064 -0.514
  41006A     0.052  0.746  0.216
  162458r    0.891  0.013  0.043

 |------------------ all series common period rbar statistics ------------------|

   total    mean   standard   standard  skewess   kurtosis   minimum   maximum
   corrs    rbar   deviation    error    coeff      coeff      corr      corr
    1326   0.193     0.328      0.009   -0.243      2.417    -0.775     0.947

   minimum correlation: -0.775   series  172493A    and  190735A      51 years
   maximum correlation:  0.947   series  162470     and  162458r      51 years

 |------------------ within-tree common period rbar statistics -----------------|

                             no within-tree series found

 |----------------- between-tree common period rbar statistics -----------------|

   total    mean   standard   standard  skewess   kurtosis   minimum   maximum
   corrs    rbar   deviation    error    coeff      coeff      corr      corr
   1326    0.193     0.328      0.009   -0.243      2.417    -0.775     0.947

 |--------------------- final rbar, eps, and sss statistics --------------------|

                                       number     rbar     sdev
                    all series rbar:    1326     0.193    0.328
                  within-trees rbar:       0     0.000    0.000
                 between-trees rbar:    1326     0.193    0.328

                 effective chronology signal  -  reff:    0.205
                       signal-to-noise ratio  -   snr:   12.435
                 expressed population signal  -   eps:    0.926

   fractional common variance between the reduced sample-size chronology and the
            fully replicated chronology (subsample signal strength - sss)

                   sss as function of the number of trees in sample
            1     2     3     4     5     6     7     8     9    10    11    12
  sss:   0.208 0.350 0.451 0.528 0.588 0.637 0.676 0.710 0.738 0.762 0.783 0.801
           13    14    15    16    17    18    19    20    21    22    23    24
  sss:   0.817 0.832 0.845 0.857 0.867 0.877 0.886 0.894 0.901 0.908 0.914 0.920
           25    26    27    28    29    30    31    32    33    34    35    36
  sss:   0.926 0.931 0.936 0.940 0.944 0.948 0.952 0.956 0.959 0.962 0.965 0.968
           37    38    39    40    41    42    43    44    45    46    47    48
  sss:   0.971 0.973 0.976 0.978 0.980 0.983 0.985 0.987 0.989 0.990 0.992 0.994
           49    50    51    52
  sss:   0.995 0.997 0.999 1.000

     fractional common variance between the reduced sample-size chronology and
                  the expressed population signal or eps chronology

                   eps as function of the number of trees in sample
            1     2     3     4     5     6     7     8     9    10    11    12
  eps:   0.193 0.324 0.418 0.489 0.545 0.589 0.626 0.657 0.683 0.705 0.725 0.742
           13    14    15    16    17    18    19    20    21    22    23    24
  eps:   0.757 0.770 0.782 0.793 0.803 0.811 0.820 0.827 0.834 0.840 0.846 0.852
           25    26    27    28    29    30    31    32    33    34    35    36
  eps:   0.857 0.861 0.866 0.870 0.874 0.878 0.881 0.884 0.888 0.890 0.893 0.896
           37    38    39    40    41    42    43    44    45    46    47    48
  eps:   0.898 0.901 0.903 0.905 0.907 0.909 0.911 0.913 0.915 0.917 0.918 0.920
           49    50    51    52
  eps:   0.921 0.923 0.924 0.926

 |--------------------------- running rbar statistics --------------------------|

    year   1910.  1930.  1950.  1970.  1990.
    corr     21.    91.   325.  1378.  1431.
    rbar  0.244  0.191  0.202  0.146  0.267
    sdev  0.214  0.295  0.280  0.326  0.361
    serr  0.047  0.031  0.016  0.009  0.010
    eps   0.830  0.875  0.928  0.917  0.960
    nss    15.1   29.7   51.0   64.2   66.7

